                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.57801,                0.61879,                 1.1046,                0.66767,                0.73568,                  1.124,                0.90729,                0.76621,                0.88384,                0.71946,                0.68302,                0.65017,                 1.1108,                0.71908,                0.66268,                 1.1175,              0.0007055,              0.0007055,              0.0007055
                     25,                0.57436,                0.59636,                 1.1006,                0.67756,                  0.713,                 1.1262,                0.95765,                0.81162,                0.89415,                0.73956,                0.66652,                0.53518,                 1.0938,                0.71013,                0.52827,                 1.0948,             0.00068075,             0.00068075,             0.00068075
                     26,                0.56772,                0.57539,                 1.1003,                0.65887,                0.66714,                 1.1212,                0.90068,                0.85893,                0.90415,                0.73043,                 0.6607,                0.56244,                 1.0894,                0.70358,                0.58863,                  1.105,               0.000656,               0.000656,               0.000656
                     27,                0.55047,                0.57228,                 1.0934,                0.64498,                0.66515,                 1.1144,                0.87967,                0.81556,                0.88824,                0.73285,                0.66896,                0.55181,                  1.083,                0.71091,                0.55013,                 1.0945,             0.00063125,             0.00063125,             0.00063125
                     28,                0.54165,                0.56354,                 1.0873,                0.63411,                0.66033,                 1.1075,                0.95377,                0.85617,                0.92033,                0.76426,                0.61276,                0.52844,                 1.0497,                 0.6772,                0.50051,                 1.0569,              0.0006065,              0.0006065,              0.0006065
                     29,                0.54259,                0.55249,                  1.082,                0.64357,                0.63508,                 1.1041,                 0.8421,                0.81782,                 0.8685,                 0.7227,                0.62878,                 0.5932,                 1.0738,                0.66652,                0.57881,                 1.0891,             0.00058175,             0.00058175,             0.00058175
                     30,                0.53182,                0.53913,                 1.0817,                0.62302,                0.62869,                 1.0997,                0.89151,                0.83707,                0.91632,                0.75325,                0.64305,                0.50844,                 1.0886,                0.71474,                0.51626,                 1.1226,               0.000557,               0.000557,               0.000557
                     31,                0.52324,                0.52821,                 1.0716,                0.61379,                0.63755,                 1.0924,                0.91244,                0.89257,                0.93406,                0.77702,                0.62718,                0.48342,                 1.0615,                0.67922,                 0.4855,                 1.0791,             0.00053225,             0.00053225,             0.00053225
                     32,                0.52844,                0.53859,                 1.0664,                0.62363,                0.63098,                 1.0865,                 0.9125,                0.88388,                0.93396,                 0.7622,                0.64817,                0.49088,                 1.0763,                0.69634,                0.49243,                 1.0864,              0.0005075,              0.0005075,              0.0005075
                     33,                0.50593,                0.50948,                 1.0588,                0.60249,                0.59437,                 1.0818,                0.90452,                0.87169,                0.92706,                0.77516,                0.61286,                0.51475,                  1.036,                0.63025,                0.52197,                 1.0392,             0.00048275,             0.00048275,             0.00048275
                     34,                0.50087,                0.50473,                 1.0576,                0.58785,                 0.5851,                 1.0747,                0.93557,                0.80951,                0.92365,                0.77967,                0.60474,                 0.4953,                  1.051,                0.61465,                 0.5325,                 1.0486,               0.000458,               0.000458,               0.000458
                     35,                 0.5177,                0.51634,                 1.0694,                0.60417,                0.59108,                 1.0897,                0.91516,                0.84069,                0.92494,                 0.7708,                0.59456,                0.49251,                 1.0342,                0.62507,                0.48348,                 1.0535,             0.00043325,             0.00043325,             0.00043325
                     36,                0.49616,                 0.4967,                  1.051,                0.57836,                0.57774,                 1.0663,                0.88958,                0.86418,                0.91794,                0.75261,                 0.6109,                0.52669,                 1.0665,                0.65531,                0.52991,                 1.0912,              0.0004085,              0.0004085,              0.0004085
                     37,                0.49248,                0.49394,                  1.056,                0.57629,                0.56771,                 1.0753,                0.90244,                0.84363,                0.91569,                0.77151,                0.62152,                 0.4841,                 1.0635,                0.63996,                0.53778,                 1.0533,             0.00038375,             0.00038375,             0.00038375
                     38,                 0.4874,                0.47874,                 1.0406,                 0.5699,                0.54707,                 1.0579,                0.91115,                 0.8463,                0.91512,                0.76959,                0.59744,                 0.5109,                 1.0474,                0.63957,                0.52692,                 1.0738,               0.000359,               0.000359,               0.000359
                     39,                0.48653,                0.47425,                 1.0457,                0.56375,                0.53185,                 1.0609,                0.92006,                0.80906,                0.90306,                0.76232,                0.58655,                0.48341,                 1.0432,                0.63977,                0.52274,                 1.0626,             0.00033425,             0.00033425,             0.00033425
                     40,                0.46747,                0.45955,                 1.0331,                0.54819,                0.52207,                 1.0466,                 0.9289,                 0.8426,                0.91026,                 0.7807,                0.58231,                0.49086,                  1.027,                0.61581,                0.50078,                 1.0511,              0.0003095,              0.0003095,              0.0003095
